id,label,status
VRA,vanguard ten second countdown,differs
VRE,VANGUARD,agrees
VS1,Resistance Commander; Commander,agrees
VS2,Defeat,agrees
VS3,Enemy Codes have been lost,agrees
VS4,Enemy Code have been captured,agrees
VS5,Enemy team has our codes,agrees
VS6,Game Over,agrees
VS7,Objective Complete,agrees
VS8,Random,agrees
VS9,Resistance; The Resistance,agrees
VSA,60 seconds remaining; 60 SECONDS REMAIN,agrees
VSB,ten second count down; Countdown from 10; 10-0 COUNT DOWN W MUSIC,differs
VSC,30 seconds remaining; 30 SECONDS REMAIN,agrees
VSD,2 minutes remaining; 2 MINUTES REMAIN,differs
VSE,Upgrade available,agrees
VSF,Victory,agrees
VSG,Our code have been captured,agrees
VSH,OUr team has the codes,agrees
VSI,Our code have been returned,agrees
VT00,4 LIVES REMAINING,agrees
VT01,3 LIVES REMAINING,agrees
VT02,2 LIVES REMAINING,agrees
VT03,ONE LIFE REMAINING,agrees
VT0U,BATTERY LOW,agrees
VT1Q,DEATHS,agrees
VT1T,KILLS,agrees
VT1U,NO,agrees
VX01,1.0,differs
VX02,2.0,differs
VX03,3.0,agrees
VX04,4.0,differs
VX05,5.0,agrees
VX06,6.0,agrees
VX07,7.0,agrees
VX08,8.0,agrees
VX09,9.0,agrees
VX0A,DUAL WIELD,differs
VX0B,FIELD ID,agrees
VX0C,GAME FOUND,agrees
VX0D,GAME HOST,agrees
VX0E,GAME JOINED,agrees
VX0F,INITIATING GAME,agrees
VX0G,NO UPDATE FOUND,agrees
VX0H,SELECT GAME RULES,agrees
VX0I,UPDATE COMPLETE,agrees
